8094	Categoria	Q77	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Osteochondrodysplasia com defeitos de crescimento de ossos tubulares e coluna
8095	SubCategoria	Q770	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Acondrogênese
8096	SubCategoria	Q771	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Baixa estatura tanatofórica
8097	SubCategoria	Q772	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Síndrome de costela curta
8098	SubCategoria	Q773	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Condrodisplasia punctata
8099	SubCategoria	Q774	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Acondroplasia
8100	SubCategoria	Q775	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Displasia distrófica
8101	SubCategoria	Q776	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Displasia condroectodérmica
8102	SubCategoria	Q777	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Displasia espondiloepifisária
8103	SubCategoria	Q778	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Outro osteochondrodysplasia com defeitos de crescimento de ossos tubulares e espinha
8104	SubCategoria	Q779	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Osteochondrodysplasia com defeitos de crescimento de ossos tubulares e coluna vertebral, não especificado
8105	Categoria	Q78	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Outras osteocondrodisplasias
8106	SubCategoria	Q780	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Osteogênese imperfeita
8107	SubCategoria	Q781	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Displasia fibrosa poliostótica
8108	SubCategoria	Q782	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Osteopetrose
8109	SubCategoria	Q783	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Displasia diafisária progressiva
8110	SubCategoria	Q784	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Encondromatose
8111	SubCategoria	Q785	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Displasia metafisária
8112	SubCategoria	Q786	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Exostoses congênitas múltiplas
8113	SubCategoria	Q788	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Outras osteocondrodisplasias especificadas
8114	SubCategoria	Q789	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Osteocondrodisplasia, não especificada
8115	Categoria	Q79	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Malformações congênitas do sistema musculoesquelético, não classificadas em outra parte
8116	SubCategoria	Q790	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Hérnia diafragmática congênita
8117	SubCategoria	Q791	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Outras malformações congênitas do diafragma
8118	SubCategoria	Q792	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Exomphalos
8119	SubCategoria	Q793	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Gastrosquise
8120	SubCategoria	Q794	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Síndrome do ventre de ameixa
8121	SubCategoria	Q795	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Outras malformações congênitas da parede abdominal
8122	SubCategoria	Q796	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Síndrome de Ehlers-Danlos
8123	SubCategoria	Q798	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Outras malformações congênitas do sistema musculoesquelético
8124	SubCategoria	Q799	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Malformações congênitas e deformações do sistema musculoesquelético	Malformação congênita do sistema músculo-esquelético, não especificado
8125	Grupo	Q80-Q89	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras malformações congênitas
8126	Categoria	Q80	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Ictiose congênita
8127	SubCategoria	Q800	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Ictiose vulgar
8128	SubCategoria	Q801	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Ictiose ligada ao cromossomo X
8129	SubCategoria	Q802	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Ictiose Lamelar
8130	SubCategoria	Q803	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Eritrodermia ictiosiforme bolhosa congênita
8131	SubCategoria	Q804	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Feto Arlequim
8132	SubCategoria	Q808	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras ictiose congênita
8133	SubCategoria	Q809	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Ictiose congênita não especificada
8134	Categoria	Q81	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Epidermólise bolhosa
8135	SubCategoria	Q810	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Epidermólise bolhosa simplex
8136	SubCategoria	Q811	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Epidermólise bolhosa letal
8137	SubCategoria	Q812	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Epidermólise bolhosa distrófica
8138	SubCategoria	Q818	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras epidermólises bolhosas
8139	SubCategoria	Q819	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Epidermólise bolhosa, não especificada
8140	Categoria	Q82	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras malformações congênitas da pele
8141	SubCategoria	Q820	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Linfedema hereditário
8142	SubCategoria	Q821	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Xeroderma pigmentoso
8143	SubCategoria	Q822	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Mastocitose
8144	SubCategoria	Q823	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	pigmentar incontinência
8145	SubCategoria	Q824	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Displasia ectodérmica (anidrótica)
8146	SubCategoria	Q825	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Nevo não neoplásico congênito
8147	SubCategoria	Q828	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras malformações congênitas especificadas da pele
8148	SubCategoria	Q829	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Malformação congênita da pele, não especificada
8149	Categoria	Q83	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Malformações congênitas da mama
8150	SubCategoria	Q830	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Ausência congênita de mama com mamilo ausente
8151	SubCategoria	Q831	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Mama acessório
8152	SubCategoria	Q832	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Mamilo ausente
8153	SubCategoria	Q833	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Mamilo acessório
8154	SubCategoria	Q838	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras malformações congênitas da mama
8155	SubCategoria	Q839	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Malformação congênita da mama, não especificada
8156	Categoria	Q84	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras malformações congênitas do tegumento
8157	SubCategoria	Q840	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Alopecia congênita
8158	SubCategoria	Q841	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Distúrbios morfológicos congênitos dos cabelos, não classificados em outra parte
8159	SubCategoria	Q842	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras malformações congênitas do cabelo
8160	SubCategoria	Q843	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Anoníquia
8161	SubCategoria	Q844	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Leuconíquia congênita
8162	SubCategoria	Q845	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Unhas aumentadas e hipertróficas
8163	SubCategoria	Q846	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras malformações congênitas das unhas
8164	SubCategoria	Q848	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras malformações congênitas especificadas do tegumento
8165	SubCategoria	Q849	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Malformação congênita de tegumento, não especificado
8166	Categoria	Q85	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Phakomatoses, não classificados em outra parte
8167	SubCategoria	Q850	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Neurofibromatose (não maligna)
8168	SubCategoria	Q851	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Esclerose Tuberosa
8169	SubCategoria	Q858	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras facomatoses, não classificadas em outra parte
8170	SubCategoria	Q859	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Phakomatosis, não especificado
8171	Categoria	Q86	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Síndromes de malformação congênitas por causas exógenas conhecidas, não classificadas em outra parte
8172	SubCategoria	Q860	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Síndrome alcoólica fetal (dismórfica)
8173	SubCategoria	Q861	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Síndrome da hidantoína fetal
8174	SubCategoria	Q862	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Dismorfismo devido à varfarina
8175	SubCategoria	Q868	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras síndromes de malformação congênitas devido a causas exógenas conhecidas
8176	Categoria	Q87	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras síndromes de malformações congênitas especificadas que afetam múltiplos sistemas
8177	SubCategoria	Q870	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Síndromes de malformação congênita afetando predominantemente a aparência facial
8178	SubCategoria	Q871	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Síndromes de malformação congênita predominantemente associadas à baixa estatura
8179	SubCategoria	Q872	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Síndromes de malformação congênita envolvendo predominantemente membros
8180	SubCategoria	Q873	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Síndromes de malformação congênita envolvendo supercrescimento precoce
8181	SubCategoria	Q874	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	síndrome de Marfan
8182	SubCategoria	Q875	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras síndromes de malformação congênitas com outras alterações esqueléticas
8183	SubCategoria	Q878	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras síndromes de malformações congênitas especificadas, não classificadas em outra parte
8184	Categoria	Q89	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras malformações congênitas, não classificadas em outra parte
8185	SubCategoria	Q890	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Malformações congênitas do baço
8186	SubCategoria	Q891	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Malformações congênitas da glândula adrenal
8187	SubCategoria	Q892	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Malformações congênitas de outras glândulas endócrinas
8188	SubCategoria	Q893	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Site Inversus
8189	SubCategoria	Q894	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Gêmeos siameses
8190	SubCategoria	Q897	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Malformações congênitas múltiplas, não classificadas em outra parte
8191	SubCategoria	Q898	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Outras malformações congênitas especificadas
8192	SubCategoria	Q899	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Outras malformações congênitas	Malformação congênita, não especificada
8193	Grupo	Q90-Q99	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Anormalidades cromossômicas não classificadas em outra parte
8194	Categoria	Q90	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Síndrome de Down
8195	SubCategoria	Q900	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia 21, não-disjunção meiótica
8196	SubCategoria	Q901	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia 21, mosaicismo (não-disjunção mitótica)
8197	SubCategoria	Q902	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia 21, translocação
8198	SubCategoria	Q909	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Síndrome de Down, não especificado
8199	Categoria	Q91	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Síndrome de Edwards e síndrome de Patau
8200	SubCategoria	Q910	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia 18, não-disjunção meiótica
8201	SubCategoria	Q911	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia 18, mosaicismo (não-disjunção mitótica)
8202	SubCategoria	Q912	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia 18, translocação
8203	SubCategoria	Q913	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Síndrome de Edwards, não especificada
8204	SubCategoria	Q914	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia 13, não-disjunção meiótica
8205	SubCategoria	Q915	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia 13, mosaicismo (não-disjunção mitótica)
8206	SubCategoria	Q916	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia 13, translocação
8207	SubCategoria	Q917	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Síndrome de Patau, não especificada
8208	Categoria	Q92	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte
8209	SubCategoria	Q920	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia cromossômica total, não-disjunção meiótica
8210	SubCategoria	Q921	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia cromossômica total, mosaicismo (não-disjunção mitótica)
8211	SubCategoria	Q922	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia parcial maior
8212	SubCategoria	Q923	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia parcial menor
8213	SubCategoria	Q924	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Duplicações vistas apenas na prometaphase
8214	SubCategoria	Q925	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Duplicações com outros rearranjos complexos
8215	SubCategoria	Q926	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Cromossomos marcadores extras
8216	SubCategoria	Q927	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Triploidia e poliploidia
8217	SubCategoria	Q928	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outras trissomias especificadas e trissomias parciais de autossomos
8218	SubCategoria	Q929	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Trissomia e trissomia parcial de autossomos não especificados
8219	Categoria	Q93	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Monossomias e deleções dos autossomos, não classificadas em outra parte
8220	SubCategoria	Q930	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Monossomia cromossômica total, não-disjunção meiótica
8221	SubCategoria	Q931	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Monossomia cromossômica total, mosaicismo (não-disjunção mitótica)
8222	SubCategoria	Q932	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Cromossomo substituído por anel ou dicentric
8223	SubCategoria	Q933	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Exclusão do braço curto do cromossomo 4
8224	SubCategoria	Q934	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Exclusão do braço curto do cromossomo 5
8225	SubCategoria	Q935	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outras eliminações de parte de um cromossoma
8226	SubCategoria	Q936	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Deleções vistas apenas na prometaphase
8227	SubCategoria	Q937	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Deleções com outros rearranjos complexos
8228	SubCategoria	Q938	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outras eliminações dos autossomos
8229	SubCategoria	Q939	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Supressão de autossomos, não especificada
8230	Categoria	Q95	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Rearranjos balanceados e marcadores estruturais, não classificados em outra parte
8231	SubCategoria	Q950	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Translocação e inserção equilibrada em indivíduos normais
8232	SubCategoria	Q951	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Inversão cromossômica em indivíduo normal
8233	SubCategoria	Q952	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Rearranjo autossômico equilibrado em indivíduo anormal
8234	SubCategoria	Q953	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Sexo equilibrado / rearranjo autossômico em indivíduo anormal
8235	SubCategoria	Q954	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Indivíduos com marcador heterocromatina
8236	SubCategoria	Q955	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Indivíduos com sítio frágil autossômico
8237	SubCategoria	Q958	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outros rearranjos balanceados e marcadores estruturais
8238	SubCategoria	Q959	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Rearranjo equilibrado e marcador estrutural, não especificado
8239	Categoria	Q96	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	síndrome de Turner
8240	SubCategoria	Q960	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Cariótipo 45, X
8241	SubCategoria	Q961	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Cariótipo 46, X iso (Xq)
8242	SubCategoria	Q962	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Cariótipo 46, X com cromossomo sexual anormal, exceto iso (Xq)
8243	SubCategoria	Q963	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Mosaicismo, 45, X / 46, XX ou XY
8244	SubCategoria	Q964	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Mosaicismo, 45, X / outra (s) linha (s) celular (ais) com cromossomo sexual anormal
8245	SubCategoria	Q968	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outras variantes da síndrome de Turner
8246	SubCategoria	Q969	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Síndrome de Turner, não especificada
8247	Categoria	Q97	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outras anormalidades cromossômicas sexuais, fenótipo feminino, não classificadas em outra parte
8248	SubCategoria	Q970	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Cariótipo 47, XXX
8249	SubCategoria	Q971	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Feminino com mais de três cromossomos X
8250	SubCategoria	Q972	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Mosaicismo, linhas com vários números de cromossomos X
8251	SubCategoria	Q973	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Feminino com cariótipo 46, XY
8252	SubCategoria	Q978	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outras anormalidades cromossômicas sexuais especificadas, fenótipo feminino
8253	SubCategoria	Q979	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Anomalia do cromossomo sexual, fenótipo feminino, não especificado
8254	Categoria	Q98	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outras anormalidades cromossômicas sexuais, fenótipo masculino, não classificados em outra parte
8255	SubCategoria	Q980	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Síndrome de Klinefelter cariótipo 47, XXY
8256	SubCategoria	Q981	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Síndrome de Klinefelter, macho com mais de dois cromossomos X
8257	SubCategoria	Q982	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Síndrome de Klinefelter, do sexo masculino, com cariótipo 46, XX
8258	SubCategoria	Q983	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outro macho com cariótipo 46, XX
8259	SubCategoria	Q984	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Síndrome de Klinefelter, não especificada
8260	SubCategoria	Q985	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Cariótipo 47, XYY
8261	SubCategoria	Q986	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Macho com cromossomo sexual estruturalmente anormal
8262	SubCategoria	Q987	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Macho com mosaicismo cromossômico sexual
8263	SubCategoria	Q988	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outras anormalidades cromossômicas sexuais especificadas, fenótipo masculino
8264	SubCategoria	Q989	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Anomalia do cromossomo sexual, fenótipo masculino, não especificado
8265	Categoria	Q99	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outras anormalidades cromossômicas não classificadas em outra parte
8266	SubCategoria	Q990	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Quimera 46, XX / 46, XY
8267	SubCategoria	Q991	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	46, XX verdadeiro hermafrodita
8268	SubCategoria	Q992	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Cromossomo X frágil
8269	SubCategoria	Q998	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Outras anormalidades cromossômicas especificadas
8270	SubCategoria	Q999	XVII	Malformações congênitas, deformações e anomalias cromossômicas	Anormalidades cromossômicas não classificadas em outra parte	Anomalia cromossômica, não especificada
